"text id","sentence id","token id","score"
11,20,22,-0.281
11,20,25,0.5
11,20,29,0.344
11,21,10,-0.25
11,21,14,-0.471
11,21,16,0.484
11,21,22,-0.171
11,21,26,0.314
11,22,20,-0.176
11,23,9,0.219
11,23,11,-0.371
11,23,25,0.469
11,24,4,0.355
11,24,6,-0.471
11,24,12,-0.125
11,24,19,-0.118
11,25,12,0.091
11,27,14,-0.485
11,27,23,0.061
11,27,28,-0.281
11,27,32,0.031
11,28,4,-0.469
11,28,20,0.355
11,28,28,-0.091
11,28,32,-0.152
11,28,33,0.133
11,30,39,-0.324
11,30,40,0.219
12,0,7,-0.219
12,0,9,0.324
12,0,13,0.281
12,2,1,-0.121
12,2,5,-0.182
12,2,10,0.419
12,2,19,0.091
12,2,24,-0.031
12,3,0,0.057
12,3,12,0
12,3,54,-0.147
12,3,65,-0.306
12,5,5,0.303
12,6,5,0.057
12,6,16,-0.03
12,6,20,-0.111
12,6,23,-0.3
12,6,25,0.182
12,7,11,0.176
12,7,13,-0.188
12,7,15,0.033
12,7,22,0.161
12,8,4,0.147
12,8,5,-0.03
12,8,20,0.086
12,9,3,0.364
12,9,17,-0.031
12,9,20,0.371
12,10,11,0.571
12,11,2,0.061
12,11,8,-0.059
12,11,21,-0.029
12,12,1,0
12,12,3,0.029
12,12,5,0.235
12,12,8,0.559
12,13,4,0.152
12,13,6,0.206
12,14,11,-0.344
12,14,17,-0.062
12,15,13,0.257
12,15,19,0
12,16,3,-0.118
12,17,5,0.303
12,17,12,0.235
12,17,19,0.543
12,18,3,-0.121
12,18,10,-0.25
12,18,13,-0.097
12,18,19,0.029
12,19,4,0.235
12,19,7,0.059
12,19,12,0.176
12,19,13,0.029
12,19,20,-0.091
12,20,7,-0.194
12,21,3,-0.25
12,21,6,0
12,22,4,0.129
12,22,7,0.2
12,22,12,-0.147
12,22,21,0.161
12,22,24,0.056
12,22,25,0.03
12,23,8,-0.273
12,24,2,-0.219
12,25,18,-0.394
12,26,7,-0.118
12,26,15,0.324
12,26,19,0.242
12,27,9,0.091
12,28,2,-0.176
12,28,10,-0.029
12,28,12,-0.303
12,29,6,-0.324
12,30,16,-0.344
12,31,3,-0.25
12,32,10,0.029
12,32,20,0.114
12,32,25,0.176
12,33,15,0
12,33,16,-0.03
12,34,6,-0.029
12,34,11,-0.147
12,34,13,0.303
12,35,3,0.147
12,35,11,-0.212
12,36,5,-0.176
12,37,19,0.229
12,38,13,-0.273
12,38,29,0.133
12,38,52,-0.029
13,0,10,0
13,2,6,0.086
13,2,10,-0.303
13,2,13,0.062
13,2,14,0.152
13,2,16,-0.088
13,2,22,-0.206
13,2,25,0.114
13,3,4,0.061
13,3,20,0.03
13,3,22,0
13,4,4,0.094
13,5,7,0.5
13,5,9,0.281
13,5,11,0.5
13,5,12,0.235
13,5,14,-0.121
13,5,18,-0.133
13,5,19,-0.031
13,5,23,-0.5
13,5,28,0.171
13,6,10,0.029
13,6,39,0.129
13,6,42,-0.125
13,6,46,0.679
13,7,4,0.091
13,7,11,-0.5
13,7,13,0
13,7,14,-0.484
13,8,14,-0.057
13,9,3,0.457
13,9,13,-0.029
13,9,20,-0.6
13,9,27,-0.118
13,9,34,-0.219
13,10,9,-0.031
13,10,12,-0.086
13,10,15,0.188
13,10,16,-0.059
13,10,23,0.343
13,11,4,-0.529
13,11,15,-0.062
13,11,17,-0.314
13,11,22,-0.242
13,11,26,0.235
13,11,27,0
13,12,5,-0.375
13,12,8,0
13,12,24,0.032
13,12,27,-0.029
13,12,31,0.361
13,13,5,-0.303
13,15,14,0.206
13,15,18,-0.242
13,15,19,0.312
13,17,3,-0.125
13,17,5,0.062
13,17,10,0.265
13,18,14,-0.206
13,18,18,0.324
13,18,21,-0.206
13,18,22,0.029
13,19,2,-0.367
13,19,4,0.032
13,20,4,0.257
13,20,6,0.412
13,20,12,-0.1
13,21,6,-0.441
13,21,14,-0.057
13,21,16,-0.176
13,21,19,-0.031
13,21,25,-0.545
13,21,28,0.088
13,21,34,0.343
13,22,6,-0.212
13,23,3,0.029
13,23,8,-0.161
13,24,3,0.206
13,24,7,0.235
13,24,11,0.03
13,24,20,0
13,24,28,0
13,25,9,0.061
13,25,21,0.091
14,0,3,0.452
14,0,8,0.364
14,0,25,-0.353
14,2,4,-0.182
14,2,40,-0.306
14,2,41,0.059
14,2,44,-0.029
14,3,1,-0.265
14,3,3,0.294
14,3,10,0.382
14,3,12,-0.118
14,4,15,-0.206
14,4,44,-0.353
14,5,3,0.242
14,5,4,0.029
14,6,4,-0.029
14,6,10,0
14,8,10,0.121
14,8,13,-0.394
14,8,23,0.394
14,8,27,0.235
14,8,30,0.455
14,9,1,0.156
14,11,9,0.438
14,11,12,0.118
14,11,19,0.097
14,11,22,0.176
14,12,13,-0.441
14,12,36,-0.029
14,12,51,0.29
14,17,11,0.031
14,18,6,-0.156
14,19,1,0.382
14,19,3,0.143
14,19,8,0
14,19,10,-0.061
14,19,13,-0.118
14,19,14,0.5
14,19,20,0.343
14,20,0,0.176
14,24,9,-0.188
14,25,14,0.057
14,26,7,-0.114
14,26,11,0.176
14,26,13,0.562
14,27,7,0.424
14,27,13,-0.353
14,29,18,0.6
14,29,24,0.118
14,29,25,0.457
14,31,13,-0.406
14,31,21,-0.353
14,31,27,0.303
14,32,19,-0.03
14,32,26,0.032
14,33,14,-0.029
14,33,16,-0.194
14,38,9,0.314
14,39,7,-0.029
14,39,10,0.25
14,41,13,0.265
14,41,16,0.273
14,41,19,-0.206
14,41,20,0.571
14,41,21,0.452
14,42,19,0.4
14,43,0,-0.265
14,43,9,0.143
14,44,12,0.194
14,44,14,-0.152
14,45,3,0.171
14,46,23,0.441
14,47,15,0.394
14,47,16,-0.156
14,47,35,0.088
14,48,3,0.273
14,48,7,0.343
14,48,10,0.1
14,49,14,-0.382
14,49,17,0.588
14,50,1,-0.143
14,50,17,-0.156
14,50,20,0.6
14,50,23,0.515
14,51,6,0.438
14,51,9,0.061
14,52,26,0.242
14,52,33,0.152
14,54,1,-0.206
14,54,11,0
15,0,3,0.088
15,0,4,0.212
15,3,3,0
15,4,3,-0.469
15,4,7,0.5
15,5,13,0.03
15,7,18,-0.457
15,7,26,0.278
15,8,7,0.2
15,8,8,0.419
15,8,16,0.324
15,9,4,-0.5
15,9,22,0.2
15,9,23,0.121
15,10,3,-0.031
15,11,10,0.156
15,11,20,-0.125
15,11,35,-0.094
15,11,37,0.371
15,13,0,0.056
15,13,18,-0.206
15,13,23,0.656
15,13,24,0.486
15,13,28,0.029
15,15,15,0.061
15,16,1,-0.176
15,16,3,-0.344
15,16,16,-0.094
15,17,4,-0.258
15,17,15,0.333
15,18,3,-0.312
15,18,4,-0.235
15,18,8,0.242
15,19,14,-0.156
15,19,24,0.156
15,19,28,0.114
15,21,2,-0.265
15,22,16,-0.206
15,22,18,-0.314
15,23,30,-0.156
15,24,1,-0.156
15,24,6,0.242
15,25,2,0.382
15,25,6,-0.485
15,25,11,0
15,25,19,-0.121
15,25,43,0.088
15,26,20,-0.324
15,27,1,-0.441
15,27,11,-0.031
15,28,10,-0.281
15,28,26,0.545
15,28,44,-0.455
15,28,49,0.059
15,28,52,0.735
15,28,54,-0.2
15,28,55,0
15,29,4,-0.188
15,30,1,0
15,31,15,0.182
15,32,28,-0.353
15,32,34,-0.143
15,33,10,0.114
15,33,11,-0.059
15,34,3,-0.094
15,34,4,-0.088
15,34,5,0.088
15,34,12,-0.176
15,34,18,0.333
15,36,2,-0.3
15,36,4,0.265
15,37,3,0.382
15,38,2,0.061
15,40,8,0.033
15,42,2,-0.324
15,43,16,-0.576
15,44,25,-0.029
15,45,12,0.188
15,45,24,-0.515
15,47,11,0.467
15,48,11,-0.364
15,48,14,0.029
15,48,17,0.121
15,49,7,-0.394
15,50,3,-0.235
15,50,18,0.061
15,51,5,-0.382
15,51,9,-0.161
15,51,16,0.424
15,53,3,-0.3
15,53,7,-0.091
15,53,9,0.242
16,0,1,0.125
16,0,11,0.514
16,0,12,-0.273
16,0,14,0.059
16,2,3,-0.094
16,2,5,-0.314
16,2,11,-0.031
16,4,9,0
16,4,12,0.061
16,5,1,0.1
16,5,6,0.057
16,5,13,-0.091
16,5,23,0.324
16,9,16,0.5
16,9,29,0.206
16,11,1,0.028
16,11,35,0.094
16,11,41,0.029
16,13,1,-0.455
16,13,2,-0.206
16,13,18,-0.061
16,14,3,0
16,15,3,-0.188
16,16,1,0.032
16,16,23,0.194
16,17,2,-0.171
16,17,3,-0.5
16,17,19,-0.118
16,18,7,0.125
16,18,8,-0.294
16,18,15,-0.312
16,18,16,0.029
16,19,2,0.029
16,19,3,-0.161
16,21,5,0
16,22,10,-0.281
16,22,13,-0.273
16,23,4,0.032
16,24,10,-0.235
16,25,12,-0.088
16,25,14,-0.03
16,26,5,0.333
16,31,32,0.353
16,34,2,0.353
16,34,5,-0.29
16,34,13,-0.2
16,35,5,0.031
16,35,15,-0.088
16,35,23,-0.156
16,36,4,0.176
16,36,13,0.059
16,36,15,0.152
16,36,18,-0.455
16,36,23,-0.429
16,36,32,0.147
16,37,3,-0.147
16,37,5,-0.129
16,37,16,-0.394
16,38,11,-0.182
16,39,7,-0.4
16,40,4,0.147
16,41,3,0
16,41,9,-0.312
16,41,12,0.121
16,41,13,0.265
16,41,28,0
16,43,4,0.242
16,43,5,-0.355
16,43,11,0.212
16,44,5,-0.206
16,44,10,0
16,45,4,0.4
16,45,8,-0.344
16,46,4,0
16,46,9,0.5
16,47,10,-0.364
16,47,12,-0.5
16,47,19,-0.242
16,48,1,-0.031
16,48,9,0.147
16,48,17,-0.382
16,49,1,0
16,49,3,-0.235
16,51,3,-0.061
16,51,4,0.059
16,52,2,0.086
16,52,10,-0.029
16,52,14,-0.176
16,52,16,0.333
16,53,2,0.176
16,55,9,-0.406
16,55,17,0.032
16,55,20,0.258
16,55,26,0.094
16,56,1,-0.176
16,56,6,-0.031
16,56,16,0.242
16,56,19,-0.061
16,57,4,0.182
16,57,17,0.382
16,58,4,0.419
16,58,10,0
16,58,17,-0.029
16,58,20,0.029
17,0,4,0.281
17,0,7,0.097
17,2,5,0.147
17,2,6,0.353
17,3,5,-0.212
17,3,7,-0.062
17,3,12,-0.188
17,3,14,-0.206
17,3,17,0.324
17,3,23,0.371
17,3,26,0.515
17,3,30,-0.265
17,4,14,0.143
17,4,16,0.257
17,5,16,0.375
17,5,17,0.125
17,6,0,-0.306
17,6,3,-0.455
17,6,6,-0.294
17,6,8,0.543
17,6,20,-0.143
17,6,24,0
17,7,11,-0.5
17,7,19,-0.118
17,8,4,0.059
17,8,21,-0.206
17,8,24,-0.069
17,8,26,0.235
17,8,37,-0.25
17,8,41,-0.394
17,8,42,0.029
17,8,46,-0.457
17,9,6,0.618
17,9,7,0.286
17,9,13,0.176
17,10,28,0.091
17,11,1,-0.129
17,11,3,0.281
17,11,8,-0.033
17,11,10,0.556
17,11,11,-0.029
17,11,17,0.029
17,11,22,0.029
17,11,28,-0.147
17,12,10,0.176
17,13,14,-0.242
17,14,10,-0.206
17,14,14,0.562
17,14,18,-0.031
17,14,20,-0.062
17,14,28,-0.353
17,15,2,0.265
17,15,6,0.364
17,15,8,0.364
17,15,12,-0.176
17,15,18,0.129
17,17,8,0.147
17,17,10,0.5
17,17,14,0
17,17,15,-0.303
17,18,1,-0.029
17,19,15,-0.265
17,19,16,0.529
17,20,1,-0.167
17,20,4,0.258
17,20,9,-0.242
17,20,10,-0.118
17,21,4,-0.25
17,21,5,0.273
17,21,15,0.029
17,21,22,0.471
17,21,33,0.417
17,22,3,0.371
17,22,4,-0.441
17,22,11,0.061
17,23,8,-0.176
17,23,13,0.2
17,23,19,-0.188
17,23,29,0.152
17,23,31,0.242
17,24,4,0.088
17,24,7,0.152
17,24,12,-0.152
17,24,23,-0.588
17,24,30,-0.121
17,24,37,-0.212
17,24,40,-0.303
17,25,3,0.5
17,26,4,-0.056
17,26,11,-0.129
17,27,20,0
17,27,25,0.032
17,27,32,-0.323
17,27,35,0.229
17,28,3,0.176
17,28,13,0.133
17,28,16,0.03
17,28,17,0.156
17,28,25,0.176
17,29,3,-0.065
17,29,9,0.094
17,29,12,0.029
17,29,17,-0.067
17,29,21,-0.029
17,30,9,0.471
17,31,3,0
17,31,5,-0.333
17,31,6,0.03
17,31,15,0.452
17,31,18,-0.094
17,31,23,0.152
17,31,26,-0.438
17,31,30,-0.364
17,31,31,-0.485
17,32,15,-0.394
18,0,3,0.03
18,0,7,0.028
18,3,5,-0.029
18,3,9,0.176
18,3,17,0.152
18,3,18,0.121
18,3,24,-0.324
18,3,26,-0.273
18,4,2,0.303
18,5,29,0.118
18,6,7,-0.353
18,7,1,-0.452
18,8,5,0.118
18,8,13,0.424
18,8,18,0.294
18,8,20,-0.333
18,8,34,0.028
18,10,5,-0.242
18,10,10,-0.118
18,10,13,0.25
18,11,2,-0.129
18,11,3,-0.219
18,12,2,0.4
18,12,7,-0.194
18,12,15,-0.278
18,12,21,-0.139
18,13,2,0.206
18,13,6,0.543
18,13,10,-0.235
18,13,15,0.029
18,14,4,0.133
18,15,8,0.273
18,15,15,0.029
18,15,16,0.188
18,16,6,-0.182
18,18,15,0.235
18,18,16,0.059
18,18,19,0.333
18,18,25,0.647
18,19,1,-0.212
18,19,2,-0.121
18,19,10,0.061
18,20,4,0.548
18,20,6,-0.235
18,20,10,-0.094
18,20,21,0.438
18,20,40,-0.156
18,20,47,0.121
18,20,48,0.235
18,21,5,0.059
18,21,6,-0.059
18,21,9,-0.273
18,21,11,0
18,23,3,0.156
18,23,6,-0.25
18,23,8,0.273
18,23,11,-0.152
18,23,25,-0.182
18,28,6,0.118
18,28,23,0.118
18,28,25,-0.118
18,28,33,-0.118
18,29,13,0
18,30,11,0.375
18,31,30,-0.097
18,31,43,-0.394
18,31,50,-0.152
18,32,21,-0.156
18,32,29,0.176
18,32,32,0.469
18,32,39,-0.412
18,32,41,-0.324
18,32,42,-0.152
18,33,3,-0.265
18,33,8,-0.182
18,33,9,-0.188
18,33,13,0.212
18,34,2,0.062
18,34,3,0.03
18,34,6,-0.067
18,34,8,-0.2
18,34,11,0.176
18,34,16,0.182
18,34,21,-0.455
18,34,25,-0.147
18,34,29,0.065
18,35,2,-0.118
18,35,9,-0.265
18,35,30,-0.5
18,35,32,0.083
18,35,33,0.212
18,36,8,0.091
18,36,15,0
18,37,8,-0.147
18,37,12,0.182
18,37,18,-0.5
18,38,6,0.121
18,38,8,-0.121
18,39,22,0.222
18,39,34,0.206
18,39,38,0.182
18,40,21,-0.353
18,40,26,-0.091
18,40,28,-0.353
19,0,4,-0.147
19,2,9,-0.029
19,3,15,-0.029
19,3,24,0.212
19,4,3,0.265
19,4,24,0.091
19,4,28,0.438
19,5,8,-0.182
19,5,45,0.273
19,6,25,-0.152
19,6,36,0.143
19,7,3,-0.312
19,7,6,-0.303
19,7,16,-0.152
19,7,20,-0.152
19,7,21,0.281
19,7,29,-0.182
19,8,7,0.031
19,9,7,0.029
19,9,18,-0.161
19,10,10,0.333
19,11,13,0.171
19,11,14,0.176
19,12,5,0.147
19,12,8,0.032
19,12,12,-0.412
19,12,14,0.059
19,12,26,-0.176
19,12,34,0.441
19,13,11,-0.029
19,13,27,0.344
19,13,32,0.059
19,14,2,-0.294
19,14,9,0.235
19,14,11,0.412
19,14,14,-0.156
19,14,27,0.029
19,14,32,-0.03
19,15,4,-0.2
19,15,26,0.129
19,16,6,0.091
19,16,13,-0.294
19,16,17,0.235
19,21,11,0.303
19,22,3,0
19,23,25,-0.545
19,23,50,0.029
19,24,7,-0.032
19,24,9,0.324
20,0,3,-0.294
20,0,4,-0.114
20,0,5,0.219
20,2,4,0.4
20,2,8,-0.188
20,2,11,0
20,2,26,-0.424
20,2,28,0.059
20,2,31,-0.265
20,3,2,0.333
20,4,28,-0.139
20,5,17,-0.061
20,5,18,-0.029
20,5,28,-0.094
20,5,29,-0.182
20,6,1,-0.265
20,6,2,0.062
20,6,5,0.294
20,7,7,-0.233
20,8,8,-0.086
20,8,11,0.206
20,9,3,-0.303
20,9,6,0.091
20,9,16,-0.143
20,9,20,-0.059
20,10,4,-0.147
20,11,4,-0.086
20,11,8,0.212
20,12,2,0.545
20,12,3,-0.147
20,12,7,-0.344
20,12,18,-0.212
20,12,27,-0.1
20,14,4,0.294
20,14,5,0.371
20,15,19,-0.265
20,15,20,-0.406
20,15,36,-0.515
20,15,38,0
20,18,3,-0.364
20,18,5,0
20,18,10,0.057
20,18,12,-0.412
20,18,17,0.676
20,18,20,0
20,18,24,0.1
20,19,34,0.125
20,19,35,-0.125
20,19,43,-0.559
20,19,56,0.088
20,20,16,-0.455
20,20,18,-0.4
20,21,2,-0.242
20,21,4,-0.152
20,22,4,-0.156
20,22,13,0.412
20,22,15,0.226
20,22,18,-0.147
20,22,35,-0.171
20,22,40,-0.188
20,22,45,-0.265
20,22,47,-0.219
20,23,4,-0.258
20,23,15,-0.2
20,24,6,0.125
20,24,11,-0.303
20,24,17,-0.485
20,24,21,-0.083
20,24,27,-0.031
20,24,39,-0.226
20,25,5,0.091
20,25,9,-0.382
20,25,18,0.059
20,26,26,0
20,26,29,-0.182
20,26,36,0.324
20,26,50,0.765
20,26,55,-0.094
20,26,61,0.229
20,27,2,-0.314
20,27,5,0.455
20,27,13,-0.161
20,27,14,-0.156
20,27,20,-0.147
21,0,1,0.382
21,0,2,0.375
21,2,10,0.5
21,2,12,0.156
21,3,7,0.067
21,3,29,-0.484
21,6,8,0.156
21,6,18,-0.061
21,6,20,0.086
21,6,26,-0.206
21,6,27,-0.029
21,7,3,-0.194
21,7,23,0.188
21,7,41,-0.061
21,8,14,0.086
21,10,6,-0.273
21,10,8,-0.061
21,12,3,-0.194
21,12,12,0.176
21,14,13,0.061
21,14,18,-0.088
21,15,2,0.2
21,15,5,0.161
21,15,8,0.029
21,15,19,-0.061
21,15,21,-0.353
21,15,25,0.486
21,15,32,-0.353
21,15,44,-0.281
21,15,45,0.029
21,16,1,0.438
21,16,15,-0.125
21,16,30,-0.152
21,16,41,0.25
21,19,3,0.03
21,19,9,0.143
21,20,17,0.03
21,20,20,-0.091
21,21,5,0.229
21,21,12,-0.182
21,21,34,0.364
21,21,36,-0.273
21,22,9,-0.265
21,23,4,-0.353
21,23,12,0.182
21,24,4,0.176
21,24,13,0.429
21,24,19,0.059
21,25,6,-0.382
21,25,13,-0.303
21,26,2,-0.265
21,26,6,0.286
21,26,9,0.152
21,26,11,0.242
21,26,19,-0.324
21,27,4,0.344
21,27,8,0.029
21,27,12,-0.029
21,27,16,0
21,28,8,0.03
21,28,15,0.257
21,29,13,-0.188
21,29,25,0.118
21,29,35,-0.156
21,29,37,-0.412
21,29,41,-0.457
21,29,43,-0.424
21,29,47,-0.029
21,30,4,0.125
21,30,14,0.452
21,30,31,-0.156
21,32,9,0.065
21,32,20,-0.235
21,33,2,-0.086
21,33,6,0.235
21,33,11,0.161
21,34,4,0.281
21,34,8,0.226
21,34,11,0.029
21,35,7,-0.032
21,37,8,-0.206
21,38,2,-0.472
21,39,1,-0.265
21,41,5,0.364
21,42,24,-0.412
21,43,2,-0.057
21,44,18,-0.406
21,45,14,-0.457
21,45,27,-0.212
21,46,1,-0.286
21,47,17,0.206
21,48,4,-0.161
21,49,1,0.094
21,51,1,-0.455
21,51,5,-0.324
21,51,14,0.029
21,52,5,0.229
21,52,7,-0.091
21,53,1,-0.303
21,53,5,0.273
21,53,6,0.333
21,53,8,0.091
21,53,10,-0.323
21,53,13,0.258
21,54,23,0.103
21,55,0,-0.394
21,56,19,-0.065
21,57,7,-0.353
21,61,6,-0.2
21,62,5,-0.061
21,62,8,0.242
21,63,5,-0.5
21,63,7,0.029
21,63,8,0.212
21,65,20,0.059
21,65,32,0.235
21,65,39,-0.424
21,68,3,-0.125
21,68,9,0.029
21,68,12,0.303
21,68,19,-0.441
21,69,2,-0.147
21,69,6,0.25
21,69,17,-0.25
